# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
274		1702		1297851		560
275		1673		1302570		540
276		1679		1307290		556
277		1684		1312009		558
278		1675		1316728		564
279		1678		1321446		568
280		1655		1326164		568
281		1685		1330884		566
282		1660		1335603		556
283		1651		1340323		552
284		1673		1345042		554
285		1653		1349762		551
286		1647		1354482		537
287		1624		1359202		538
288		1625		1363922		542
289		1671		1368642		548
290		1657		1373362		545
291		1680		1378080		551
292		1677		1382800		543
293		1665		1387520		536
294		1682		1392240		540
295		1683		1396960		553
296		1648		1401680		545
297		1680		1406399		544
298		1637		1411119		541
299		1620		1415837		546
300		1633		1420557		553
301		1631		1425274		552
302		1632		1429993		548
303		1641		1434712		550
304		1681		1439432		556
305		1673		1444152		557
306		1712		1448871		572
307		1685		1453591		582
308		1687		1458309		571
309		1752		1463029		573
310		1799		1467748		571
311		1803		1472468		575
312		1785		1477188		573
313		1778		1481908		575
314		1764		1486627		569
315		1755		1491347		564
316		1814		1496066		566
317		1801		1500786		562
318		1774		1505506		562
319		1785		1510225		580
320		1800		1514945		576
321		1801		1519665		571
322		1823		1524383		573
323		1867		1529103		578
324		1844		1533823		584
325		1836		1538543		588
326		1835		1543263		586
327		1851		1547982		578
328		1813		1552702		567
329		1792		1557422		560
330		1852		1562142		578
331		1845		1566862		583
332		1857		1571582		575
333		1838		1576300		582
334		1857		1581020		595
335		1868		1585739		588
336		1910		1590459		575
337		1875		1595179		586
338		1888		1599899		584
339		1877		1604619		588
340		1870		1609338		581
341		1868		1614057		589
342		1885		1618777		588
343		1907		1623497		596
344		1925		1628217		600
345		1930		1632936		595
346		1896		1637655		583
347		1908		1642375		595
348		1911		1647093		586
349		1882		1651813		580
350		1866		1656533		578
351		1856		1661251		577
352		1875		1665971		577
353		1874		1670690		588
354		1884		1675409		585
355		1878		1680129		596
356		1893		1684848		597
357		1922		1689567		597
358		1935		1694287		593
359		1906		1699007		603
360		1919		1703726		603
361		1897		1708446		612
362		1875		1713166		611
363		1896		1717886		611
364		1912		1722606		620
365		1921		1727326		624
366		1908		1732046		621
367		1872		1736766		630
368		1891		1741486		626
369		1906		1746205		619
370		1930		1750925		628
371		1954		1755645		635
372		1938		1760364		629
373		1907		1765084		624
374		1900		1769804		626
375		1884		1774523		625
376		1910		1779242		621
377		1921		1783960		625
378		1928		1788680		626
379		1879		1793400		627
380		1906		1798120		629
381		1896		1802840		635
382		1898		1807559		616
383		1923		1812278		646
384		1915		1816998		644
385		1890		1821718		642
386		1906		1826438		640
387		1956		1831157		644
388		1952		1835877		639
389		1910		1840597		631
390		1854		1845317		621
391		1852		1850037		629
392		1855		1854757		617
